,userid,name,description,url,user_domain,weihao,gender,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,ucreate_at,allow_all_act_msg,geo_enabled,verified,allow_all_comment,verified_reason,credibility
0,34776,爱随身,,,uc34776,,f,127,25,321,698,259,Thu Nov 24 21:20:14 +0800 2011,0,1,0,1,,2
1,273563223,期货投机者,长线交易，顺势加仓。,,jjo924,,m,391,105,334,930,44,Mon Oct 04 20:01:28 +0800 2010,0,1,0,1,,1
2,1001083534,劉少刀,讲不了真话，至少不讲假话。,,,,m,291,71,880,3343,54,Mon Apr 30 02:35:56 +0800 2012,0,1,0,1,,2
3,1001556027,用户wj9z1wurpj,,,,,m,0,0,0,0,0,Thu Mar 06 11:46:39 +0800 2014,0,1,0,1,,3
4,1008907501,V一剑V,,,,,m,18,0,63,339,7,Sat Jan 12 18:41:19 +0800 2013,0,1,0,1,,3
5,1025894963,真是激动人心的乱世啊,,,,,m,101,59,214,645,320,Mon Jul 12 10:43:46 +0800 2010,0,1,0,1,,3
6,1029457753,JC上下,假如没有明天，我该何去何从,,,,m,250,90,227,1424,197,Fri Jul 29 16:37:00 +0800 2011,0,1,0,1,,2
7,1043325954,人物,《人物》创刊于1980年，人民出版社主办，致力于提供中文世界最好的人物报道。我们有三个要素：当代史、个人、价值观。,http://blog.sina.com.cn/renwuzazhi,renwuzazhi,,m,261650,346,515,7462,517,Fri Oct 22 15:50:05 +0800 2010,1,0,1,1,《人物》杂志官方微博,0
8,1043804461,天地一沙鸥Real,,,,,m,0,0,1,1,0,Fri Mar 07 09:24:03 +0800 2014,0,1,0,1,,3
9,1049120464,专打击水产养殖专业户,我是战神 输了一万次,,,,f,157,60,197,8,209,Fri Aug 27 00:17:55 +0800 2010,0,1,0,1,,3
10,1053683387,QN柳成林,好好学习天天向上！@,,huoc,,m,546,247,534,2171,155,Fri Feb 25 12:27:38 +0800 2011,0,0,0,1,,1
11,1054508313,黄韬_交大法学院,上海交通大学凯原法学院副教授,http://blog.sina.com.cn/pkuhuangtao,huangtaokgls,,m,4699,437,876,5518,191,Fri Apr 15 04:06:30 +0800 2011,0,1,0,1,,0
12,1057270302,上海ouyang988,,,,,m,47,4,107,1046,11,Sun Feb 26 21:56:19 +0800 2012,0,1,0,1,,3
13,1058970240,瑞特万,,http://blog.sina.com.cn/zfq,jerychang,,m,491,25,414,12436,5,Thu May 27 11:14:41 +0800 2010,0,1,0,0,,3
14,1062701003,大刀王小五,就一俗人,,,,m,115,14,547,162,25,Wed Dec 08 19:51:14 +0800 2010,0,1,0,1,,2
15,1066734101,深海之鱼儿,没有无缘无故的爱，也没有无缘无故的恨。,,,571177328,m,223,61,360,806,19,Tue Mar 08 00:46:05 +0800 2011,0,1,0,1,,2
16,1074460023,开心毛豆001,知足常乐,http://blog.sina.com.cn/xlling0,,,f,219,45,87,258,1,Thu Feb 03 01:58:20 +0800 2011,0,1,0,1,,2
17,1075032554,zypfiesta,,,,,m,5,0,30,26,0,Wed Oct 07 11:23:21 +0800 2009,0,1,0,1,,3
18,1082896707,清华孙立平,,,,,m,105099,282,394,3210,16,Sat Feb 25 00:30:33 +0800 2012,0,1,0,1,,1
